TYPE,DATE,START TIME,END TIME,USAGE,UNITS,COST,NOTES
Electric usage,2023-02-19,12:00,12:29,1.84,kWh,$0.23,
Electric usage,2023-02-19,12:30,12:59,2.77,kWh,$0.35,
Electric usage,2023-02-19,13:00,13:29,1.86,kWh,$0.24,
Electric usage,2023-02-19,13:30,13:59,1.36,kWh,$0.17,
Electric usage,2023-02-19,14:00,14:29,2.44,kWh,$0.31,
Electric usage,2023-02-19,14:30,14:59,2.17,kWh,$0.27,
Electric usage,2023-02-19,15:00,15:29,2.53,kWh,$0.32,
Electric usage,2023-02-19,15:30,15:59,2.60,kWh,$0.33,
Electric usage,2023-02-19,16:00,16:29,2.75,kWh,$0.35,
Electric usage,2023-02-19,16:30,16:59,0.89,kWh,$0.11,
Electric usage,2023-02-19,17:00,17:29,2.90,kWh,$0.37,
Electric usage,2023-02-19,17:30,17:59,2.55,kWh,$0.32,
Electric usage,2023-02-19,18:00,18:29,1.40,kWh,$0.18,
Electric usage,2023-02-19,18:30,18:59,2.89,kWh,$0.37,
Electric usage,2023-02-19,19:00,19:29,2.83,kWh,$0.36,
Electric usage,2023-02-19,19:30,19:59,0.43,kWh,$0.05,
Electric usage,2023-02-19,20:00,20:29,2.41,kWh,$0.31,
Electric usage,2023-02-19,20:30,20:59,2.33,kWh,$0.30,
Electric usage,2023-02-19,21:00,21:29,0.14,kWh,$0.02,
Electric usage,2023-02-19,21:30,21:59,0.20,kWh,$0.03,
Electric usage,2023-02-19,22:00,22:29,0.07,kWh,$0.01,
Electric usage,2023-02-19,22:30,22:59,0.09,kWh,$0.01,
Electric usage,2023-02-19,23:00,23:29,0.12,kWh,$0.02,
Electric usage,2023-02-19,23:30,23:59,0.06,kWh,$0.01,
Electric usage,2023-02-20,00:00,00:29,0.14,kWh,$0.02,
Electric usage,2023-02-20,00:30,00:59,0.08,kWh,$0.01,
Electric usage,2023-02-20,01:00,01:29,0.09,kWh,$0.01,
Electric usage,2023-02-20,01:30,01:59,0.11,kWh,$0.01,
Electric usage,2023-02-20,02:00,02:29,0.06,kWh,$0.01,
Electric usage,2023-02-20,02:30,02:59,0.14,kWh,$0.02,
Electric usage,2023-02-20,03:00,03:29,0.06,kWh,$0.01,
Electric usage,2023-02-20,03:30,03:59,0.12,kWh,$0.01,
Electric usage,2023-02-20,04:00,04:29,0.08,kWh,$0.01,
Electric usage,2023-02-20,04:30,04:59,0.09,kWh,$0.01,
Electric usage,2023-02-20,05:00,05:29,0.11,kWh,$0.01,
Electric usage,2023-02-20,05:30,05:59,0.06,kWh,$0.01,
Electric usage,2023-02-20,06:00,06:29,0.14,kWh,$0.02,
Electric usage,2023-02-20,06:30,06:59,0.06,kWh,$0.01,
Electric usage,2023-02-20,07:00,07:29,6.17,kWh,$0.78,
Electric usage,2023-02-20,07:30,07:59,3.92,kWh,$0.50,
Electric usage,2023-02-20,08:00,08:29,4.37,kWh,$0.55,
Electric usage,2023-02-20,08:30,08:59,2.94,kWh,$0.37,
Electric usage,2023-02-20,09:00,09:29,2.85,kWh,$0.36,
Electric usage,2023-02-20,09:30,09:59,2.50,kWh,$0.32,
Electric usage,2023-02-20,10:00,10:29,2.46,kWh,$0.31,
Electric usage,2023-02-20,10:30,10:59,2.85,kWh,$0.36,
Electric usage,2023-02-20,11:00,11:29,2.63,kWh,$0.33,
Electric usage,2023-02-20,11:30,11:59,2.40,kWh,$0.30,
Electric usage,2023-02-20,12:00,12:29,2.69,kWh,$0.34,
Electric usage,2023-02-20,12:30,12:59,2.33,kWh,$0.30,
Electric usage,2023-02-20,13:00,13:29,1.30,kWh,$0.17,
Electric usage,2023-02-20,13:30,13:59,1.85,kWh,$0.24,
Electric usage,2023-02-20,14:00,14:29,2.55,kWh,$0.32,
Electric usage,2023-02-20,14:30,14:59,2.35,kWh,$0.30,
Electric usage,2023-02-20,15:00,15:29,2.62,kWh,$0.33,
Electric usage,2023-02-20,15:30,15:59,2.32,kWh,$0.29,
Electric usage,2023-02-20,16:00,16:29,2.51,kWh,$0.32,
Electric usage,2023-02-20,16:30,16:59,2.31,kWh,$0.29,
Electric usage,2023-02-20,17:00,17:29,0.43,kWh,$0.06,
Electric usage,2023-02-20,17:30,17:59,2.45,kWh,$0.31,
Electric usage,2023-02-20,18:00,18:29,2.89,kWh,$0.37,
Electric usage,2023-02-20,18:30,18:59,2.28,kWh,$0.29,
Electric usage,2023-02-20,19:00,19:29,2.33,kWh,$0.30,
Electric usage,2023-02-20,19:30,19:59,2.18,kWh,$0.28,
Electric usage,2023-02-20,20:00,20:29,2.39,kWh,$0.30,
Electric usage,2023-02-20,20:30,20:59,2.94,kWh,$0.37,
Electric usage,2023-02-20,21:00,21:29,0.19,kWh,$0.02,
Electric usage,2023-02-20,21:30,21:59,0.29,kWh,$0.04,
Electric usage,2023-02-20,22:00,22:29,0.45,kWh,$0.06,
Electric usage,2023-02-20,22:30,22:59,0.26,kWh,$0.03,
Electric usage,2023-02-20,23:00,23:29,0.14,kWh,$0.02,
Electric usage,2023-02-20,23:30,23:59,0.06,kWh,$0.01,
Electric usage,2023-02-21,00:00,00:29,0.15,kWh,$0.02,
Electric usage,2023-02-21,00:30,00:59,0.08,kWh,$0.01,
Electric usage,2023-02-21,01:00,01:29,0.14,kWh,$0.02,
Electric usage,2023-02-21,01:30,01:59,0.12,kWh,$0.02,
Electric usage,2023-02-21,02:00,02:29,0.05,kWh,$0.01,
Electric usage,2023-02-21,02:30,02:59,0.13,kWh,$0.02,
Electric usage,2023-02-21,03:00,03:29,0.07,kWh,$0.01,
Electric usage,2023-02-21,03:30,03:59,0.09,kWh,$0.01,
Electric usage,2023-02-21,04:00,04:29,0.10,kWh,$0.01,
Electric usage,2023-02-21,04:30,04:59,0.06,kWh,$0.01,
Electric usage,2023-02-21,05:00,05:29,0.12,kWh,$0.02,
Electric usage,2023-02-21,05:30,05:59,0.05,kWh,$0.01,
Electric usage,2023-02-21,06:00,06:29,0.12,kWh,$0.01,
Electric usage,2023-02-21,06:30,06:59,0.16,kWh,$0.02,
Electric usage,2023-02-21,07:00,07:29,6.54,kWh,$0.83,
Electric usage,2023-02-21,07:30,07:59,5.13,kWh,$0.65,
Electric usage,2023-02-21,08:00,08:29,4.96,kWh,$0.63,
Electric usage,2023-02-21,08:30,08:59,3.77,kWh,$0.48,
Electric usage,2023-02-21,09:00,09:29,3.44,kWh,$0.44,
Electric usage,2023-02-21,09:30,09:59,3.21,kWh,$0.41,
Electric usage,2023-02-21,10:00,10:29,2.71,kWh,$0.34,
Electric usage,2023-02-21,10:30,10:59,2.63,kWh,$0.33,
Electric usage,2023-02-21,11:00,11:29,2.73,kWh,$0.35,
Electric usage,2023-02-21,11:30,11:59,2.90,kWh,$0.37,
Electric usage,2023-02-21,12:00,12:29,3.83,kWh,$0.49,
Electric usage,2023-02-21,12:30,12:59,3.27,kWh,$0.41,
Electric usage,2023-02-21,13:00,13:29,2.38,kWh,$0.30,
Electric usage,2023-02-21,13:30,13:59,2.48,kWh,$0.31,
Electric usage,2023-02-21,14:00,14:29,2.73,kWh,$0.35,
Electric usage,2023-02-21,14:30,14:59,2.66,kWh,$0.34,
Electric usage,2023-02-21,15:00,15:29,2.62,kWh,$0.33,
Electric usage,2023-02-21,15:30,15:59,2.62,kWh,$0.33,
Electric usage,2023-02-21,16:00,16:29,3.47,kWh,$0.44,
Electric usage,2023-02-21,16:30,16:59,2.91,kWh,$0.37,
Electric usage,2023-02-21,17:00,17:29,4.04,kWh,$0.51,
Electric usage,2023-02-21,17:30,17:59,2.39,kWh,$0.30,
Electric usage,2023-02-21,18:00,18:29,2.78,kWh,$0.35,
Electric usage,2023-02-21,18:30,18:59,2.84,kWh,$0.36,
Electric usage,2023-02-21,19:00,19:29,2.81,kWh,$0.36,
Electric usage,2023-02-21,19:30,19:59,1.86,kWh,$0.24,
Electric usage,2023-02-21,20:00,20:29,2.74,kWh,$0.35,
Electric usage,2023-02-21,20:30,20:59,2.40,kWh,$0.30,
Electric usage,2023-02-21,21:00,21:29,0.24,kWh,$0.03,
Electric usage,2023-02-21,21:30,21:59,0.13,kWh,$0.02,
Electric usage,2023-02-21,22:00,22:29,0.15,kWh,$0.02,
Electric usage,2023-02-21,22:30,22:59,0.06,kWh,$0.01,
Electric usage,2023-02-21,23:00,23:29,0.12,kWh,$0.01,
Electric usage,2023-02-21,23:30,23:59,0.09,kWh,$0.01,
Electric usage,2023-02-22,00:00,00:29,0.09,kWh,$0.01,
Electric usage,2023-02-22,00:30,00:59,0.12,kWh,$0.01,
Electric usage,2023-02-22,01:00,01:29,0.06,kWh,$0.01,
Electric usage,2023-02-22,01:30,01:59,0.14,kWh,$0.02,
Electric usage,2023-02-22,02:00,02:29,0.06,kWh,$0.01,
Electric usage,2023-02-22,02:30,02:59,0.12,kWh,$0.01,
Electric usage,2023-02-22,03:00,03:29,0.08,kWh,$0.01,
Electric usage,2023-02-22,03:30,03:59,0.09,kWh,$0.01,
Electric usage,2023-02-22,04:00,04:29,0.10,kWh,$0.01,
Electric usage,2023-02-22,04:30,04:59,0.08,kWh,$0.01,
Electric usage,2023-02-22,05:00,05:29,0.14,kWh,$0.02,
Electric usage,2023-02-22,05:30,05:59,0.06,kWh,$0.01,
Electric usage,2023-02-22,06:00,06:29,0.13,kWh,$0.02,
Electric usage,2023-02-22,06:30,06:59,0.06,kWh,$0.01,
Electric usage,2023-02-22,07:00,07:29,8.04,kWh,$1.02,
Electric usage,2023-02-22,07:30,07:59,5.73,kWh,$0.73,
Electric usage,2023-02-22,08:00,08:29,4.85,kWh,$0.61,
Electric usage,2023-02-22,08:30,08:59,3.74,kWh,$0.47,
Electric usage,2023-02-22,09:00,09:29,3.77,kWh,$0.48,
Electric usage,2023-02-22,09:30,09:59,4.63,kWh,$0.59,
Electric usage,2023-02-22,10:00,10:29,4.14,kWh,$0.52,
Electric usage,2023-02-22,10:30,10:59,2.67,kWh,$0.34,
Electric usage,2023-02-22,11:00,11:29,3.54,kWh,$0.45,
Electric usage,2023-02-22,11:30,11:59,4.82,kWh,$0.61,
Electric usage,2023-02-22,12:00,12:29,3.26,kWh,$0.41,
Electric usage,2023-02-22,12:30,12:59,2.71,kWh,$0.34,
Electric usage,2023-02-22,13:00,13:29,4.13,kWh,$0.52,
Electric usage,2023-02-22,13:30,13:59,3.90,kWh,$0.49,
Electric usage,2023-02-22,14:00,14:29,2.62,kWh,$0.33,
Electric usage,2023-02-22,14:30,14:59,2.73,kWh,$0.35,
Electric usage,2023-02-22,15:00,15:29,3.48,kWh,$0.44,
Electric usage,2023-02-22,15:30,15:59,3.32,kWh,$0.42,
Electric usage,2023-02-22,16:00,16:29,3.23,kWh,$0.41,
Electric usage,2023-02-22,16:30,16:59,4.23,kWh,$0.54,
Electric usage,2023-02-22,17:00,17:29,3.71,kWh,$0.47,
Electric usage,2023-02-22,17:30,17:59,3.57,kWh,$0.45,
Electric usage,2023-02-22,18:00,18:29,2.42,kWh,$0.31,
Electric usage,2023-02-22,18:30,18:59,3.00,kWh,$0.38,
Electric usage,2023-02-22,19:00,19:29,2.66,kWh,$0.34,
Electric usage,2023-02-22,19:30,19:59,4.06,kWh,$0.51,
Electric usage,2023-02-22,20:00,20:29,1.73,kWh,$0.22,
Electric usage,2023-02-22,20:30,20:59,3.25,kWh,$0.41,
Electric usage,2023-02-22,21:00,21:29,0.55,kWh,$0.07,
Electric usage,2023-02-22,21:30,21:59,0.56,kWh,$0.07,
Electric usage,2023-02-22,22:00,22:29,0.88,kWh,$0.11,
Electric usage,2023-02-22,22:30,22:59,0.54,kWh,$0.07,
Electric usage,2023-02-22,23:00,23:29,0.15,kWh,$0.02,
Electric usage,2023-02-22,23:30,23:59,0.21,kWh,$0.03,
Electric usage,2023-02-23,00:00,00:29,0.14,kWh,$0.02,
Electric usage,2023-02-23,00:30,00:59,0.23,kWh,$0.03,
Electric usage,2023-02-23,01:00,01:29,0.21,kWh,$0.03,
Electric usage,2023-02-23,01:30,01:59,0.23,kWh,$0.03,
Electric usage,2023-02-23,02:00,02:29,0.17,kWh,$0.02,
Electric usage,2023-02-23,02:30,02:59,0.18,kWh,$0.02,
Electric usage,2023-02-23,03:00,03:29,0.19,kWh,$0.02,
Electric usage,2023-02-23,03:30,03:59,0.15,kWh,$0.02,
Electric usage,2023-02-23,04:00,04:29,0.23,kWh,$0.03,
Electric usage,2023-02-23,04:30,04:59,0.14,kWh,$0.02,
Electric usage,2023-02-23,05:00,05:29,0.20,kWh,$0.03,
Electric usage,2023-02-23,05:30,05:59,0.15,kWh,$0.02,
Electric usage,2023-02-23,06:00,06:29,0.18,kWh,$0.02,
Electric usage,2023-02-23,06:30,06:59,0.17,kWh,$0.02,
Electric usage,2023-02-23,07:00,07:29,8.12,kWh,$1.03,
Electric usage,2023-02-23,07:30,07:59,4.89,kWh,$0.62,
Electric usage,2023-02-23,08:00,08:29,3.95,kWh,$0.50,
Electric usage,2023-02-23,08:30,08:59,4.02,kWh,$0.51,
Electric usage,2023-02-23,09:00,09:29,5.05,kWh,$0.64,
Electric usage,2023-02-23,09:30,09:59,3.15,kWh,$0.40,
Electric usage,2023-02-23,10:00,10:29,2.83,kWh,$0.36,
Electric usage,2023-02-23,10:30,10:59,3.64,kWh,$0.46,
Electric usage,2023-02-23,11:00,11:29,2.70,kWh,$0.34,
Electric usage,2023-02-23,11:30,11:59,3.02,kWh,$0.38,
Electric usage,2023-02-23,12:00,12:29,2.98,kWh,$0.38,
Electric usage,2023-02-23,12:30,12:59,3.30,kWh,$0.42,
Electric usage,2023-02-23,13:00,13:29,3.11,kWh,$0.39,
Electric usage,2023-02-23,13:30,13:59,3.51,kWh,$0.44,
Electric usage,2023-02-23,14:00,14:29,1.18,kWh,$0.15,
Electric usage,2023-02-23,14:30,14:59,1.22,kWh,$0.15,
Electric usage,2023-02-23,15:00,15:29,3.24,kWh,$0.41,
Electric usage,2023-02-23,15:30,15:59,1.20,kWh,$0.15,
Electric usage,2023-02-23,16:00,16:29,3.44,kWh,$0.44,
Electric usage,2023-02-23,16:30,16:59,1.31,kWh,$0.17,
Electric usage,2023-02-23,17:00,17:29,3.46,kWh,$0.44,
Electric usage,2023-02-23,17:30,17:59,2.55,kWh,$0.32,
Electric usage,2023-02-23,18:00,18:29,3.42,kWh,$0.43,
Electric usage,2023-02-23,18:30,18:59,1.65,kWh,$0.21,
Electric usage,2023-02-23,19:00,19:29,3.21,kWh,$0.41,
Electric usage,2023-02-23,19:30,19:59,3.10,kWh,$0.39,
Electric usage,2023-02-23,20:00,20:29,2.27,kWh,$0.29,
Electric usage,2023-02-23,20:30,20:59,1.55,kWh,$0.20,
Electric usage,2023-02-23,21:00,21:29,0.69,kWh,$0.09,
Electric usage,2023-02-23,21:30,21:59,0.58,kWh,$0.07,
Electric usage,2023-02-23,22:00,22:29,0.10,kWh,$0.01,
Electric usage,2023-02-23,22:30,22:59,0.12,kWh,$0.02,
Electric usage,2023-02-23,23:00,23:29,0.09,kWh,$0.01,
Electric usage,2023-02-23,23:30,23:59,0.09,kWh,$0.01,
Electric usage,2023-02-24,00:00,00:29,0.11,kWh,$0.01,
Electric usage,2023-02-24,00:30,00:59,0.07,kWh,$0.01,
Electric usage,2023-02-24,01:00,01:29,0.12,kWh,$0.02,
Electric usage,2023-02-24,01:30,01:59,0.06,kWh,$0.01,
Electric usage,2023-02-24,02:00,02:29,0.13,kWh,$0.02,
Electric usage,2023-02-24,02:30,02:59,0.06,kWh,$0.01,
Electric usage,2023-02-24,03:00,03:29,0.13,kWh,$0.02,
Electric usage,2023-02-24,03:30,03:59,0.06,kWh,$0.01,
Electric usage,2023-02-24,04:00,04:29,0.12,kWh,$0.02,
Electric usage,2023-02-24,04:30,04:59,0.06,kWh,$0.01,
Electric usage,2023-02-24,05:00,05:29,0.11,kWh,$0.01,
Electric usage,2023-02-24,05:30,05:59,0.07,kWh,$0.01,
Electric usage,2023-02-24,06:00,06:29,0.10,kWh,$0.01,
